DIRECTORIO;P6040;P404;P3503;P3271;P400;FEX_C
7982357;5;2;2;1;3;22.952.317.027
7982359;17;2;2;1;3;18.857.395.236
7982359;15;2;2;1;3;18.857.395.236
7982359;13;2;2;2;3;18.857.395.236
7982359;11;2;2;2;3;18.857.395.236
7982359;10;2;2;1;3;18.857.395.236
7982359;8;2;2;2;3;18.857.395.236
7982360;16;2;2;1;6;15.311.142.353
7982360;11;2;2;2;3;15.311.142.353
7982360;5;2;2;2;3;15.311.142.353
7982361;17;2;2;1;3;20.419.470.847
7982361;15;2;2;1;3;20.419.470.847
7982362;6;2;2;2;3;94.984.988.467
7982364;15;2;2;1;3;85.885.357.613
7982364;6;2;2;2;3;85.885.357.613
7982366;10;2;2;1;3;11.660.093.072
7982366;6;2;2;1;3;11.660.093.072
7982371;7;2;2;1;3;20.011.671.067
7982373;5;2;2;2;3;24.411.307.888
7982374;17;2;2;1;3;19.538.997.594
7982374;15;2;2;2;3;19.538.997.594
7982378;6;2;2;2;3;18.205.130.943
7982380;14;2;2;2;3;23.002.957.112
7982380;12;2;2;2;3;23.002.957.112
7982380;10;2;2;1;3;23.002.957.112
7982385;8;2;2;2;3;18.014.273.483
7982385;6;2;2;2;3;18.014.273.483
7982387;12;2;2;1;3;22.725.226.465
7982390;17;2;2;2;3;18.829.685.903
7982394;15;2;2;1;3;13.564.303.161
7982394;12;2;2;2;3;13.564.303.161
7982395;16;2;2;2;3;10.854.242.013
7982395;10;2;2;2;3;10.854.242.013
7982395;7;2;2;2;3;10.854.242.013
7982398;11;2;2;2;3;14.565.193.509
7982399;5;2;2;1;3;12.737.021.606
7982410;8;2;2;1;3;17.667.446.206
7982413;8;2;2;1;3;41.389.203.729
7982413;7;2;2;1;3;41.389.203.729
7982413;10;2;2;2;3;41.389.203.729
7982413;8;2;2;1;3;41.389.203.729
7982413;7;2;2;1;3;41.389.203.729
7982415;16;2;2;1;3;18.360.484.803
7982420;11;2;2;1;3;22.618.275.929
7982423;15;2;2;1;3;38.830.672.508
7982431;10;2;2;2;3;29.071.740.913
7982433;11;2;2;2;3;26.798.616.848
7982435;12;2;2;2;3;32.483.171.938
7982436;7;2;2;1;3;2.618.824.434
7982439;9;2;2;1;3;19.947.460.168
7982441;10;2;2;1;3;25.930.334.361
7982442;9;2;2;2;3;21.348.493.711
7982447;7;2;2;2;3;22.471.285.524
7982449;10;2;2;1;3;33.133.546.591
7982451;11;2;2;2;3;20.811.934.622
7982451;9;2;2;2;3;20.811.934.622
7982456;12;2;2;1;3;67.688.300.221
7982456;9;2;2;2;3;67.688.300.221
7982459;13;2;2;1;3;45.790.026.432
7982459;6;2;2;1;3;45.790.026.432
7982459;15;2;2;2;3;45.790.026.432
7982460;13;2;2;2;3;36.408.514.744
7982461;15;2;2;2;3;3.136.891.145
7982461;7;2;2;1;3;3.136.891.145
7982471;13;2;2;2;3;21.813.251.653
7982471;9;2;2;2;3;21.813.251.653
7982472;14;2;2;1;3;40.612.980.133
7982472;12;2;2;2;3;40.612.980.133
7982474;16;2;2;1;3;52.448.949.855
7982474;11;2;2;2;3;52.448.949.855
7982477;16;2;2;1;3;17.773.305.743
7982478;15;2;2;1;3;26.134.482.968
7982489;6;2;2;2;3;30.872.006.609
7982490;9;2;2;1;3;2.509.512.916
7982491;14;2;2;1;3;2.872.924.703
7982492;8;2;2;1;3;22.901.004.378
7982493;17;2;2;2;3;17.527.311.352
7982493;12;2;2;1;3;17.527.311.352
7982497;13;2;2;1;3;24.721.679.062
7982497;6;2;2;1;3;24.721.679.062
7982499;12;2;2;2;3;36.551.682.119
7982502;6;2;2;1;3;21.615.693.955
7982503;7;2;2;2;3;18.422.326.376
7982504;7;2;2;1;3;33.190.827.982
